County Name,Health Outcomes,Length of Life,Quality of Life,Health Factors,Health Behaviors,Clinical Care,Social & Economic Factors,Physical Environment,Year
St. Johns (SJ),1,3,1,1,6,2,1,52,2019
Collier (CO),2,1,2,3,1,12,23,9,2019
Martin (MA),3,10,3,7,7,15,13,29,2019
Seminole (SO),4,4,9,4,10,16,2,51,2019
Miami-Dade (DA),5,2,16,31,3,59,47,50,2019
Sarasota (SS),6,19,5,2,4,3,9,47,2019
Santa Rosa (SR),7,13,11,15,37,24,4,45,2019
Monroe (MO),8,28,4,11,12,34,10,7,2019
Flagler (FL),9,23,7,21,11,23,33,18,2019
Orange (OR),10,6,26,19,13,27,12,49,2019
Lee (LE),11,18,12,18,9,14,32,46,2019
Palm Beach (PB),12,14,15,5,5,6,18,30,2019
Wakulla (WK),13,22,10,35,51,42,7,66,2019
Broward (BW),14,8,27,17,8,30,14,59,2019
Leon (LO),15,5,32,14,32,5,8,64,2019
Clay (CL),16,21,13,13,35,20,6,34,2019
Walton (WT),17,16,23,37,41,43,24,54,2019
Liberty (LI),18,7,33,47,60,57,40,12,2019
Manatee (MN),19,30,8,20,15,22,26,17,2019
Sumter (ST),20,33,6,25,2,9,57,16,2019
Indian River (IR),21,17,25,16,17,7,31,3,2019
Okaloosa (OL),22,24,14,9,34,8,3,44,2019
Hillsborough (HB),23,15,29,24,20,28,15,41,2019
St. Lucie (SL),24,20,22,36,25,44,35,39,2019
Pinellas (PL),25,26,21,12,21,13,16,6,2019
Lake (LA),26,27,20,23,24,4,28,56,2019
Osceola (OS),27,9,49,30,19,47,20,67,2019
Charlotte (CH),28,29,18,10,14,11,19,8,2019
Hardee (HA),29,11,47,62,52,60,63,14,2019
Brevard (BV),30,36,17,22,18,21,21,31,2019
Alachua (AL),31,12,51,6,22,1,11,38,2019
Polk (PO),32,31,28,38,31,38,44,58,2019
Hendry (HE),33,32,30,64,36,65,67,11,2019
Gulf (GU),34,42,19,34,42,36,17,32,2019
Gilchrist (GI),35,25,38,42,48,58,25,5,2019
Nassau (NA),36,44,24,8,16,10,5,35,2019
Pasco (PA),37,35,36,28,38,29,27,25,2019
Highlands (HL),38,37,39,44,27,41,61,22,2019
Franklin (FR),39,41,35,45,53,45,43,53,2019
Hernando (HN),40,39,42,29,23,31,41,21,2019
Bay (BY),41,49,31,33,39,32,30,37,2019
Lafayette (LY),42,38,45,43,50,62,22,27,2019
DeSoto (DE),43,34,52,54,44,54,60,1,2019
Duval (DU),44,50,37,32,40,19,36,26,2019
Holmes (HM),45,40,50,55,47,35,56,57,2019
Volusia (VO),46,46,43,27,26,17,39,42,2019
Jefferson (JE),47,43,48,49,29,52,59,60,2019
Glades (GL),48,52,40,59,49,67,53,2,2019
Escambia (ES),49,53,44,26,30,25,34,40,2019
Baker (BA),50,45,54,39,55,33,29,33,2019
Washington (WG),51,57,46,52,56,53,45,62,2019
Marion (MR),52,59,41,40,33,18,51,43,2019
Okeechobee (OK),53,54,55,61,61,66,50,28,2019
Suwannee (SN),54,48,58,53,54,63,42,20,2019
Taylor (TA),55,55,56,51,57,40,52,10,2019
Citrus (CI),56,64,34,41,28,26,58,13,2019
Jackson (JS),57,56,60,56,63,39,48,63,2019
Calhoun (CA),58,63,53,50,45,61,46,23,2019
Columbia (CU),59,58,61,48,62,37,49,24,2019
Levy (LV),60,62,57,58,43,56,55,48,2019
Madison (MS),61,47,65,60,46,50,62,55,2019
Hamilton (HT),62,61,59,66,67,55,64,19,2019
Gadsden (GA),63,51,66,65,58,46,65,65,2019
Bradford (BF),64,65,62,46,59,48,38,36,2019
Dixie (DI),65,60,64,63,65,64,54,4,2019
Putnam (PN),66,66,67,67,64,49,66,61,2019
Union (UN),67,67,63,57,66,51,37,15,2019
St. Johns (SJ),1,4,1,1,6,2,1,54,2018
Collier (CO),2,1,2,3,1,21,13,6,2018
Martin (MA),3,11,3,4,7,6,11,28,2018
Seminole (SO),4,5,8,5,10,5,2,55,2018
Miami-Dade (DA),5,2,17,27,3,40,41,59,2018
Sarasota (SS),6,13,5,2,4,4,12,19,2018
Monroe (MO),7,31,4,9,14,39,7,5,2018
Palm Beach (PB),8,10,15,7,5,8,22,38,2018
Lafayette (LY),9,3,34,41,54,66,10,9,2018
Broward (BW),10,6,27,12,8,22,15,63,2018
Lee (LE),11,14,12,18,9,24,28,43,2018
Santa Rosa (SR),12,16,10,11,34,28,3,50,2018
Clay (CL),13,18,11,14,32,29,6,39,2018
Flagler (FL),14,28,6,15,12,19,23,15,2018
Orange (OR),15,7,28,19,13,23,18,48,2018
Leon (LO),16,9,30,13,29,11,8,56,2018
Manatee (MN),17,34,7,23,15,26,29,20,2018
Okaloosa (OL),18,22,14,10,30,20,4,44,2018
Sumter (ST),19,36,9,21,2,3,60,18,2018
Wakulla (WK),20,25,13,30,43,32,9,62,2018
Indian River (IR),21,20,23,22,16,15,37,3,2018
St. Lucie (SL),22,21,22,35,25,35,43,36,2018
Nassau (NA),23,24,19,8,17,17,5,57,2018
Lake (LA),24,26,20,24,21,12,21,51,2018
Hillsborough (HB),25,17,32,25,26,27,16,49,2018
Pinellas (PL),26,23,21,16,23,7,20,13,2018
Charlotte (CH),27,32,18,17,11,10,31,29,2018
Brevard (BV),28,35,16,20,19,9,24,32,2018
Walton (WT),29,27,25,36,38,51,14,67,2018
Osceola (OS),30,8,51,32,18,48,26,65,2018
Gulf (GU),31,39,24,42,46,45,30,12,2018
Hendry (HE),32,30,31,66,37,64,67,8,2018
Hardee (HA),33,15,46,62,52,61,65,11,2018
Alachua (AL),34,19,47,6,20,1,17,40,2018
Polk (PO),35,38,29,39,35,33,44,53,2018
Liberty (LI),36,33,35,51,59,57,45,7,2018
DeSoto (DE),37,12,53,59,48,60,61,2,2018
Pasco (PA),38,43,37,28,39,25,19,27,2018
Calhoun (CA),39,29,50,46,56,52,36,30,2018
Highlands (HL),40,40,43,43,28,34,58,22,2018
Jefferson (JE),41,41,45,45,31,49,54,46,2018
Duval (DU),42,47,38,33,41,13,32,60,2018
Franklin (FR),43,54,26,56,50,58,55,33,2018
Volusia (VO),44,44,41,26,24,16,34,41,2018
Hernando (HN),45,45,42,31,22,31,42,26,2018
Bay (BY),46,55,33,34,40,36,33,34,2018
Taylor (TA),47,37,58,52,63,43,51,24,2018
Baker (BA),48,42,57,44,58,47,27,42,2018
Marion (MR),49,50,40,38,33,18,53,45,2018
Washington (WG),50,46,49,54,61,46,46,58,2018
Gilchrist (GI),51,51,39,37,42,50,25,23,2018
Glades (GL),52,48,52,53,51,62,57,1,2018
Escambia (ES),53,52,44,29,36,30,35,21,2018
Citrus (CI),54,61,36,40,27,14,59,37,2018
Suwannee (SN),55,53,56,50,53,54,50,14,2018
Jackson (JS),56,49,60,55,62,38,49,66,2018
Holmes (HM),57,60,48,57,45,65,48,47,2018
Okeechobee (OK),58,57,55,63,55,67,56,25,2018
Levy (LV),59,64,54,48,49,44,47,16,2018
Columbia (CU),60,56,61,47,60,37,39,31,2018
Hamilton (HT),61,59,59,65,65,42,62,17,2018
Bradford (BF),62,65,62,49,57,56,38,35,2018
Dixie (DI),63,62,64,60,64,63,52,4,2018
Gadsden (GA),64,58,66,61,47,41,64,64,2018
Madison (MS),65,63,65,64,44,55,63,61,2018
Putnam (PN),66,66,67,67,66,59,66,52,2018
Union (UN),67,67,63,58,67,53,40,10,2018
St. Johns (SJ),1,3,1,1,6,2,1,56,2017
Collier (CO),2,1,9,5,2,17,18,6,2017
Sarasota (SS),3,14,2,2,5,3,10,16,2017
Seminole (SO),4,4,7,4,10,7,3,55,2017
Martin (MA),5,13,3,3,7,5,8,20,2017
Lafayette (LY),6,6,16,40,50,58,11,27,2017
Santa Rosa (SR),7,15,5,12,33,31,2,46,2017
Palm Beach (PB),8,9,13,7,3,9,19,32,2017
Clay (CL),9,20,4,10,22,22,5,38,2017
Monroe (MO),10,23,6,6,9,36,7,2,2017
Okaloosa (OL),11,19,8,18,34,25,6,59,2017
Lee (LE),12,16,17,24,14,28,30,42,2017
Indian River (IR),13,18,19,17,12,13,34,17,2017
Flagler (FL),14,26,10,15,13,12,25,36,2017
Sumter (ST),15,24,15,13,1,4,55,3,2017
Orange (OR),16,8,32,20,18,29,16,45,2017
Leon (LO),17,10,31,23,35,8,9,66,2017
Nassau (NA),18,30,11,8,17,14,4,30,2017
Broward (BW),19,5,43,14,11,24,14,60,2017
Wakulla (WK),20,32,12,30,44,34,12,49,2017
Manatee (MN),21,31,14,21,19,19,29,15,2017
Charlotte (CH),22,28,18,11,8,15,27,22,2017
Miami-Dade (DA),23,2,57,28,4,45,45,67,2017
Lake (LA),24,27,23,22,21,18,20,48,2017
Brevard (BV),25,35,20,16,15,11,23,25,2017
Alachua (AL),26,17,41,9,31,1,13,8,2017
Calhoun (CA),27,12,48,56,63,57,38,28,2017
Pinellas (PL),28,29,29,19,26,6,22,37,2017
Hillsborough (HB),29,21,38,25,30,21,15,47,2017
Osceola (OS),30,7,61,34,23,52,31,63,2017
St. Lucie (SL),31,22,47,31,27,32,39,9,2017
Walton (WT),32,38,26,38,37,50,17,64,2017
Gulf (GU),33,41,24,42,45,53,26,39,2017
DeSoto (DE),34,11,59,61,52,63,64,7,2017
Pasco (PA),35,39,28,27,29,26,21,53,2017
Polk (PO),36,34,44,39,32,35,42,51,2017
Washington (WG),37,45,37,57,56,48,48,62,2017
Taylor (TA),38,36,51,52,55,47,53,5,2017
Baker (BA),39,43,45,44,62,44,24,35,2017
Hernando (HN),40,47,35,29,20,30,41,52,2017
Franklin (FR),41,54,22,58,48,59,56,24,2017
Volusia (VO),42,44,46,26,16,20,37,40,2017
Marion (MR),43,48,36,36,28,23,50,50,2017
Liberty (LI),44,46,39,47,59,37,43,31,2017
Glades (GL),45,40,50,51,38,64,58,1,2017
Bay (BY),46,52,30,41,41,39,32,57,2017
Hardee (HA),47,25,62,64,64,66,63,4,2017
Highlands (HL),48,50,33,43,25,42,60,14,2017
Gilchrist (GI),49,57,21,37,39,51,28,18,2017
Jackson (JS),50,37,60,49,47,33,49,65,2017
Jefferson (JE),51,42,55,45,40,43,51,41,2017
Citrus (CI),52,60,27,35,24,16,57,34,2017
Hendry (HE),53,33,63,67,57,65,67,13,2017
Suwannee (SN),54,51,49,55,51,56,54,12,2017
Duval (DU),55,49,54,32,36,10,35,58,2017
Dixie (DI),56,65,25,59,54,61,52,19,2017
Columbia (CU),57,55,40,50,53,41,44,54,2017
Escambia (ES),58,53,52,33,43,27,33,21,2017
Holmes (HM),59,62,34,54,46,62,46,43,2017
Levy (LV),60,63,42,46,42,46,47,33,2017
Bradford (BF),61,64,58,48,49,54,40,26,2017
Okeechobee (OK),62,56,64,63,58,67,61,23,2017
Hamilton (HT),63,66,56,60,65,38,59,10,2017
Putnam (PN),64,61,65,66,61,60,66,44,2017
Madison (MS),65,59,66,62,60,49,62,29,2017
Gadsden (GA),66,58,67,65,67,40,65,61,2017
Union (UN),67,67,53,53,66,55,36,11,2017
St. Johns (SJ),1,2,1,1,5,2,1,55,2016
Collier (CO),2,3,8,5,2,18,21,5,2016
Sarasota (SS),3,12,2,2,4,3,12,10,2016
Martin (MA),4,10,6,4,8,5,9,17,2016
Seminole (SO),5,4,21,3,10,16,3,50,2016
Clay (CL),6,18,3,11,23,19,6,30,2016
Monroe (MO),7,24,4,8,12,39,7,4,2016
Santa Rosa (SR),8,16,10,14,28,32,2,46,2016
Palm Beach (PB),9,6,25,9,6,10,19,38,2016
Nassau (NA),10,29,5,6,19,17,5,29,2016
Broward (BW),11,5,31,12,7,29,15,56,2016
Okaloosa (OL),12,15,15,18,34,24,4,65,2016
Flagler (FL),13,25,11,16,11,13,27,54,2016
Lake (LA),14,23,14,17,15,14,17,42,2016
Charlotte (CH),15,27,12,7,9,7,20,16,2016
Lee (LE),16,14,23,22,17,26,30,26,2016
Sumter (ST),17,28,13,13,3,4,49,2,2016
Indian River (IR),18,22,20,23,16,12,36,24,2016
Miami-Dade (DA),19,1,54,28,1,52,43,64,2016
Brevard (BV),20,36,7,19,20,9,25,23,2016
Orange (OR),21,7,43,21,18,31,18,53,2016
Wakulla (WK),22,37,9,27,43,30,8,48,2016
Leon (LO),23,9,46,24,37,6,11,62,2016
Manatee (MN),24,30,19,15,13,20,22,9,2016
Alachua (AL),25,13,40,10,33,1,13,12,2016
Pinellas (PL),26,32,22,20,24,8,28,36,2016
Lafayette (LY),27,20,35,42,57,63,10,20,2016
Hillsborough (HB),28,19,41,26,29,21,16,45,2016
St. Lucie (SL),29,17,45,37,25,33,51,11,2016
Gilchrist (GI),30,39,16,39,41,49,26,27,2016
Gulf (GU),31,34,28,43,50,55,29,57,2016
Osceola (OS),32,8,58,40,30,59,32,59,2016
Calhoun (CA),33,21,47,56,67,47,39,37,2016
Walton (WT),34,35,29,30,35,51,14,67,2016
DeSoto (DE),35,11,55,61,55,65,62,6,2016
Polk (PO),36,33,38,38,31,37,41,33,2016
Pasco (PA),37,40,24,25,21,28,23,43,2016
Bay (BY),38,46,17,31,36,38,24,61,2016
Franklin (FR),39,42,26,59,47,56,59,41,2016
Volusia (VO),40,44,30,29,32,22,40,44,2016
Highlands (HL),41,41,34,41,22,43,55,15,2016
Washington (WG),42,50,32,53,54,48,38,66,2016
Hernando (HN),43,51,36,36,27,27,44,51,2016
Citrus (CI),44,62,18,33,14,15,57,32,2016
Jackson (JS),45,43,52,44,46,34,42,63,2016
Hardee (HA),46,26,63,62,64,61,61,3,2016
Glades (GL),47,38,59,47,39,62,56,1,2016
Duval (DU),48,48,49,35,38,11,35,58,2016
Marion (MR),49,47,51,34,26,23,47,39,2016
Baker (BA),50,58,37,46,58,46,31,40,2016
Liberty (LI),51,56,44,58,63,53,46,52,2016
Taylor (TA),52,45,56,52,60,45,48,7,2016
Hendry (HE),53,31,65,67,59,67,66,8,2016
Columbia (CU),54,57,48,50,49,35,50,60,2016
Escambia (ES),55,55,50,32,40,25,33,25,2016
Suwannee (SN),56,53,53,54,48,58,52,13,2016
Levy (LV),57,61,39,51,44,50,53,34,2016
Holmes (HM),58,63,33,55,45,64,45,35,2016
Dixie (DI),59,66,27,60,51,60,54,28,2016
Jefferson (JE),60,52,61,49,42,40,58,18,2016
Bradford (BF),61,59,57,45,52,42,37,31,2016
Okeechobee (OK),62,49,64,63,61,66,63,22,2016
Hamilton (HT),63,60,60,64,66,44,64,14,2016
Madison (MS),64,54,66,57,53,41,60,19,2016
Putnam (PN),65,64,62,66,56,54,67,49,2016
Union (UN),66,67,42,48,62,57,34,21,2016
Gadsden (GA),67,65,67,65,65,36,65,47,2016
St. Johns (SJ),1,2,1,1,2,2,1,41,2015
Collier (CO),2,3,7,6,3,21,18,8,2015
Martin (MA),3,5,3,8,7,4,11,60,2015
Seminole (SO),4,4,6,4,12,20,4,37,2015
Miami-Dade (DA),5,1,22,25,1,56,48,53,2015
Sarasota (SS),6,14,5,3,8,3,12,15,2015
DeSoto (DE),7,22,4,56,44,61,61,1,2015
Santa Rosa (SR),8,17,8,17,40,29,5,59,2015
Monroe (MO),9,24,2,15,21,40,7,6,2015
Palm Beach (PB),10,8,21,10,4,13,27,24,2015
Clay (CL),11,18,9,14,28,25,6,44,2015
Leon (LO),12,10,17,11,18,5,9,48,2015
Orange (OR),13,9,24,18,10,33,20,33,2015
Osceola (OS),14,6,32,45,26,54,36,65,2015
Broward (BW),15,7,30,9,5,31,8,51,2015
Indian River (IR),16,13,14,21,16,12,38,12,2015
Okaloosa (OL),17,11,16,12,32,15,2,61,2015
Alachua (AL),18,12,19,2,9,1,14,18,2015
Lake (LA),19,21,15,16,11,19,17,31,2015
Lee (LE),20,15,20,24,20,24,32,11,2015
Hardee (HA),21,32,10,60,58,63,56,4,2015
Flagler (FL),22,19,29,29,30,10,42,39,2015
Manatee (MN),23,31,12,20,14,18,34,13,2015
Nassau (NA),24,30,13,5,15,9,3,42,2015
Glades (GL),25,16,38,51,33,62,58,2,2015
St. Lucie (SL),26,23,37,35,13,35,53,27,2015
Sumter (ST),27,28,28,7,6,6,28,5,2015
Hillsborough (HB),28,20,41,22,23,22,19,25,2015
Polk (PO),29,29,27,36,29,37,45,16,2015
Hendry (HE),30,25,35,66,59,65,66,3,2015
Gilchrist (GI),31,42,11,44,48,50,29,46,2015
Brevard (BV),32,37,23,23,34,11,16,30,2015
Pinellas (PL),33,38,25,19,17,7,30,23,2015
Wakulla (WK),34,26,42,31,54,32,13,50,2015
Lafayette (LY),35,27,44,37,22,67,23,34,2015
Liberty (LI),36,34,33,53,60,44,44,56,2015
Charlotte (CH),37,35,34,13,19,8,15,7,2015
Walton (WT),38,33,43,32,38,55,10,67,2015
Gulf (GU),39,36,40,48,57,57,26,62,2015
Highlands (HL),40,44,36,40,24,43,51,9,2015
Pasco (PA),41,40,45,26,46,26,22,29,2015
Marion (MR),42,48,39,38,42,30,49,19,2015
Duval (DU),43,45,46,28,43,14,35,43,2015
Jackson (JS),44,41,51,39,41,34,40,58,2015
Volusia (VO),45,46,50,27,31,17,37,54,2015
Okeechobee (OK),46,47,47,63,49,66,64,10,2015
Bay (BY),47,43,53,42,51,39,21,64,2015
Franklin (FR),48,49,49,54,45,47,60,49,2015
Suwannee (SN),49,54,48,55,53,58,52,14,2015
Citrus (CI),50,62,18,30,35,16,46,21,2015
Levy (LV),51,60,26,49,36,45,54,20,2015
Hernando (HN),52,52,55,33,27,27,47,32,2015
Calhoun (CA),53,39,62,57,66,51,33,52,2015
Columbia (CU),54,57,54,50,56,42,43,40,2015
Holmes (HM),55,64,31,47,39,64,39,47,2015
Bradford (BF),56,56,56,34,25,48,31,36,2015
Jefferson (JE),57,50,60,46,37,36,55,26,2015
Madison (MS),58,51,59,61,50,46,62,22,2015
Escambia (ES),59,55,61,43,47,28,41,45,2015
Taylor (TA),60,53,63,58,67,23,57,17,2015
Gadsden (GA),61,61,58,62,55,38,63,57,2015
Baker (BA),62,58,65,41,52,41,24,55,2015
Dixie (DI),63,65,57,64,65,59,59,63,2015
Hamilton (HT),64,59,66,65,62,53,65,35,2015
Putnam (PN),65,66,64,67,63,52,67,38,2015
Washington (WG),66,63,67,59,61,49,50,66,2015
Union (UN),67,67,52,52,64,60,25,28,2015
